attached_links_url,attached_medias_url,attached_videos,author_id,author_username,community_notes,conversation_id,created_time,favorite_count,geo_lat,geo_lon,id,in_reply_to_post_id,in_reply_to_profile_id,in_reply_to_profile_username,place_country_code,place_country_name,place_full_name,place_type,post_type,quote_count,quoted_status_id,quoted_status_profile_username,reply_count,retweet_count,source,text,text_lang,text_tagged_users,text_tags,timestamp,view_count,term,sentiment,tone
,,,1600988932757508098,ElijahChosen1,,1717816165328707786,2023-10-27T08:11:03,50,,,1717816165328707786,,,,,,,,post,0,,,22,0,,"You find it difficult to make $$ online ?

Be patient to learn this 5 skills & implement them accordingly 

📍 Copywriting
📍 Social media marketing
📍 Whatsapp automation
📍 Sales closing skills
📍 Email marketing

Avoid distraction

65days left for 2023 book to be closed",en,,,1698394263,388.0,social media marketing,unknown,unknown
,,,1709841911274422272,SHPR_agency,,1717833567865106900,2023-10-27T09:20:13,4,,,1717833567865106900,,,,,,,,post,0,,,1,8,,What's the funniest social media trend or challenge you've seen or participated in?,en,,,1698398413,456.0,social media marketing,unknown,unknown
,,,1487324142852583426,BCherich,,1717854565775573368,2023-10-27T10:43:39,68,,,1717854565775573368,,,,,,,,post,0,,,5,31,,"Pergamon Group is hiring:

If you have at least three years of experience in the following skills, you may be the person we are looking for: 
1. Data analysis
2. SEO and SEM
3. Content creation
4. Social Media Marketing
5. Website content management
6. Basic design skills…",en,,,1698403419,12384.0,social media marketing,unknown,unknown
,https://video.twimg.com/ext_tw_video/1717878413829017600/pu/vid/avc1/1280x720/5U0UIG2f3curgulY.mp4?tag=12,https://video.twimg.com/ext_tw_video/1717878413829017600/pu/vid/avc1/1280x720/5U0UIG2f3curgulY.mp4?tag=12,1610657818692169730,Digitalcore31,,1717878797096141115,2023-10-27T12:19:56,1,,,1717878797096141115,,,,,,,,post,0,,,0,0,,"5 Tips To Start Social Media Marketing 

#digitalcoresolution #DigitalMarketingStrategy #socialmediamarketingtips https://t.co/VMpDWiVor9",en,,digitalcoresolution--|--digitalmarketingstrategy--|--socialmediamarketingtips,1698409196,18.0,social media marketing,unknown,unknown
,https://pbs.twimg.com/media/F9cmKoDXYAABa36.png,,1293884626059120642,chirpley,,1717895057779384628,2023-10-27T13:24:33,179,,,1717895057779384628,,,,,,,,post,4,,,70,63,,"🐦Most social media marketing experts agree that a good engagement rate is between 1% to 5%. The more followers you have, the harder it is to achieve.  

Chirpley sits at 4.9% on average. We practice what we preach. #CHRP https://t.co/Xxpu8fniut",en,,chrp,1698413073,3039.0,social media marketing,unknown,unknown
,https://pbs.twimg.com/media/F9dGm4cXEAAzSap.jpg,,1252199299775111168,Blackmillions_,,1717919423162384750,2023-10-27T15:01:22,81,,,1717919423162384750,,,,,,,,post,8,,,27,20,,Victoria's Secret's net profit is down more than 99% & its stock is down 41% after its diversity & inclusion marketing campaigns including plus-size models & transgenders received high praise on social media but didn't translate into increased sales. https://t.co/K3DpviLAEw,en,,,1698418882,11989.0,social media marketing,unknown,unknown
https://www.allbusiness.com/optimize-landing-page-lead-generation,https://pbs.twimg.com/media/F9eJLkyWkAE7r5_.jpg,,2264094600,SocialMedTrends,,1717992707526688830,2023-10-27T19:52:34,2,,,1717992707526688830,,,,,,,,post,0,,,0,2,,"How to Optimize Your #LandingPage for #LeadGeneration: 13 Practical Tricks 
https://t.co/rINf5Qaydx
#SocialMediaTrends #SocialMedia #SocialMediaMarketing #Marketing #DigitalMarketing #Facebook #SEO #Twitter #SocialNetworks #B2BMarketing #ContentMarketing https://t.co/kAGVkjK0zd",en,,b2bmarketing--|--contentmarketing--|--digitalmarketing--|--facebook--|--landingpage--|--leadgeneration--|--marketing--|--seo--|--socialmedia--|--socialmediamarketing--|--socialmediatrends--|--socialnetworks--|--twitter,1698436354,47.0,social media marketing,unknown,unknown
,,,880620653296136192,avaphoenix_,,1718030176334823769,2023-10-27T22:21:28,15,,,1718030176334823769,,,,,,,,post,0,,,3,1,,"I grinded whitelists

I learned how discord and communities work

I became community manager

I learned how social media and content work

I tried to write a book

I learned how person branding work

I tried to run an agency

I learned how marketing and sales work

Everything I’m…",en,,,1698445288,489.0,social media marketing,unknown,unknown
,https://pbs.twimg.com/media/F9fA1mIX0AAZUse.jpg,,1703876615938174977,MarketingGEM5,,1718053835665469892,2023-10-27T23:55:28,12,,,1718053835665469892,,,,,,,,post,5,,,1,2,,"Is the social media algorithm hindering your growth?

The constant battle can be draining.

Arm yourself with the Top 5 Digital Marketing Strategies for Social Media Content Creators:

/🧵 https://t.co/8ZWD3baPJE",en,,,1698450928,264.0,social media marketing,unknown,unknown
,https://pbs.twimg.com/media/F9fSM9kaQAAtucB.jpg--|--https://pbs.twimg.com/media/F9fSM9lbUAADXiT.jpg--|--https://pbs.twimg.com/media/F9fSM9saEAAsl0R.jpg--|--https://pbs.twimg.com/media/F9fVinMbYAAk5yQ.jpg,,18535697,omarmu,,1718078631984164990,2023-10-28T01:34:00,137,3.11773946,101.67260581999999,1718078631984164990,,,,MY,Malaysia,"Kuala Lumpur Federal Territory, Malaysia",admin,post,8,,,5,84,,There is a quiet move presently to equate “No Pork/No Alcohol” with “Halal” among eateries in Malaysia by way of social media reviews and marketing. The difference is fundamental and significant for a large number of Malaysian Muslims and it is dangerous to shift the goalposts… https://t.co/c4PsJkerdT,en,,,1698456840,18219.0,social media marketing,unknown,unknown
,,,1300060554346799106,edubnewjeruz,,1718081405429653520,2023-10-28T01:45:02,23,,,1718081405429653520,,,,,,,,post,1,,,3,6,,"Artists: I want to salute all of you. Takes courage, patience, and time to be a recording artist and in some cases, a parent as well.

Writing, recording, mixing & mastering, marketing, keeping social media up to date, etc.

Shit's not easy.

I salute and respect all y'all.",en,,,1698457502,366.0,social media marketing,unknown,unknown
http://www.salesera.net,https://video.twimg.com/ext_tw_video/1718106862141206528/pu/vid/avc1/720x1280/W5EUZwDrtNMuCi7O.mp4?tag=12,https://video.twimg.com/ext_tw_video/1718106862141206528/pu/vid/avc1/720x1280/W5EUZwDrtNMuCi7O.mp4?tag=12,1481553321312014336,SMSalesEra,,1718107139804156307,2023-10-28T03:27:17,2,,,1718107139804156307,,,,,,,,post,1,,,0,0,,Unlocking Insights: Harnessing the Power of Social Media Listening 🎧📳Follow us for more at https://t.co/IuSPsG2nAj #salesera #SocialListening #Insights #Analytics #socialmedia #media #social #socialmediamarketing #socialmediaqueen #socialdistancing #marketing #marketingdigital https://t.co/TTyRdzH6Mw,en,,analytics--|--insights--|--marketing--|--marketingdigital--|--media--|--salesera--|--social--|--socialdistancing--|--sociallistening--|--socialmedia--|--socialmediamarketing--|--socialmediaqueen,1698463637,85.0,social media marketing,unknown,unknown
